ASH,Ashland Inc.,15,Materials,1510,Materials,151010,Chemicals,15101020,Diversified Chemicals
AIZ,Assurant Inc,40,Financials,4030,Insurance,403010,Insurance,40301030,Multi-line Insurance
AN,"AutoNation, Inc.",25,Consumer Discretionary,2550,Retailing,255040,Specialty Retail,25504050,Automotive Retail
AZO,AutoZone Inc.,25,Consumer Discretionary,2550,Retailing,255040,Specialty Retail,25504050,Automotive Retail
ADSK,"Autodesk, Inc.",45,Information Technology,4510,Software & Services,451030,Software,45103010,Application Software
ADP,Automatic Data Processing Inc.,45,Information Technology,4510,Software & Services,451020,IT Services,45102020,Data Processing & Outsourced Services
AVB,AvalonBay Communities,40,Financials,4040,Real Estate,404020,Real Estate Investment Trusts (REITs),40402050,Residential REITs
AV,Avaya Inc.,45,Information Technology,4520,Technology Hardware & Equipment,452010,Communications Equipment,45201020,Communications Equipment
AVY,Avery Dennison Corp.,20,Industrials,2020,Commercial Services & Supplies,202010,Commercial Services & Supplies,20201060,Office Services & Supplies
AVP,Avon Products,30,Consumer Staples,3030,Household & Personal Products,303020,Personal Products,30302010,Personal Products
BBT,BB&T Corporation,40,Financials,4010,Banks,401010,Commercial Banks,40101015,Regional Banks
BIIB,BIOGEN IDEC Inc.,35,Health Care,3520,"Pharmaceuticals, Biotechnology & Life Sciences",352010,Biotechnology,35201010,Biotechnology
BJS,BJ Services,10,Energy,1010,Energy,101010,Energy Equipment & Services,10101020,Oil & Gas Equipment & Services
BMC,BMC Software,45,Information Technology,4510,Software & Services,451030,Software,45103020,Systems Software
BHI,Baker Hughes,10,Energy,1010,Energy,101010,Energy Equipment & Services,10101020,Oil & Gas Equipment & Services
BLL,Ball Corp.,15,Materials,1510,Materials,151030,Containers & Packaging,15103010,Metal & Glass Containers
BAC,Bank of America Corp.,40,Financials,4020,Diversified Financials,402010,Diversified Financial Services,40201020,Other Diversified Financial Services
BK,Bank of New York,40,Financials,4020,Diversified Financials,402030,Capital Markets,40203010,Asset Management & Custody Banks
BCR,Bard (C.R.) Inc.,35,Health Care,3510,Health Care Equipment & Services,351010,Health Care Equipment & Supplies,35101010,Health Care Equipment
BRL,"Barr Pharmaceuticals, Inc.",35,Health Care,3520,"Pharmaceuticals, Biotechnology & Life Sciences",352020,Pharmaceuticals,35202010,Pharmaceuticals
BOL,Bausch & Lomb,35,Health Care,3510,Health Care Equipment & Services,351010,Health Care Equipment & Supplies,35101020,Health Care Supplies
BAX,Baxter International Inc.,35,Health Care,3510,Health Care Equipment & Services,351010,Health Care Equipment & Supplies,35101010,Health Care Equipment
BSC,Bear Stearns Cos.,40,Financials,4020,Diversified Financials,402030,Capital Markets,40203020,Investment Banking & Brokerage
BDX,"Becton, Dickinson",35,Health Care,3510,Health Care Equipment & Services,351010,Health Care Equipment & Supplies,35101010,Health Care Equipment
BBBY,Bed Bath & Beyond,25,Consumer Discretionary,2550,Retailing,255040,Specialty Retail,25504060,Homefurnishing Retail
BMS,Bemis Company,15,Materials,1510,Materials,151030,Containers & Packaging,15103020,Paper Packaging
BBY,"Best Buy Co., Inc.",25,Consumer Discretionary,2550,Retailing,255040,Specialty Retail,25504020,Computer & Electronics Retail
BIG,"Big Lots, Inc.",25,Consumer Discretionary,2550,Retailing,255030,Multiline Retail,25503020,General Merchandise Stores
BMET,"Biomet, Inc.",35,Health Care,3510,Health Care Equipment & Services,351010,Health Care Equipment & Supplies,35101010,Health Care Equipment
BDK,Black & Decker Corp.,25,Consumer Discretionary,2520,Consumer Durables & Apparel,252010,Household Durables,25201040,Household Appliances
HRB,Block H&R,25,Consumer Discretionary,2530,Consumer Services,253020,Diversified Consumer Services,25302020,Specialized Consumer Services
BA,Boeing Company,20,Industrials,2010,Capital Goods,201010,Aerospace & Defense,20101010,Aerospace & Defense
BXP,Boston Properties,40,Financials,4040,Real Estate,404020,Real Estate Investment Trusts (REITs),40402040,Office REITs
BSX,Boston Scientific,35,Health Care,3510,Health Care Equipment & Services,351010,Health Care Equipment & Supplies,35101010,Health Care Equipment
BMY,Bristol-Myers Squibb,35,Health Care,3520,"Pharmaceuticals, Biotechnology & Life Sciences",352020,Pharmaceuticals,35202010,Pharmaceuticals
BRCM,Broadcom Corporation,45,Information Technology,4530,Semiconductors & Semiconductor Equipment,453010,Semiconductor & Semiconductor Equipment,45301020,Semiconductors
BF.B,Brown-Forman Corp.,30,Consumer Staples,3020,Food Beverage & Tobacco,302010,Beverages,30201020,Distillers & Vintners
BC,Brunswick Corp.,25,Consumer Discretionary,2520,Consumer Durables & Apparel,252020,Leisure Equipment & Products,25202010,Leisure Products
BNI,Burlington Northern Santa Fe C,20,Industrials,2030,Transportation,203040,Road & Rail,20304010,Railroads
CHRW,C.H. Robinson Worldwide,20,Industrials,2030,Transportation,203010,Air Freight & Logistics,20301010,Air Freight & Logistics
CA,"CA, Inc.",45,Information Technology,4510,Software & Services,451030,Software,45103020,Systems Software
CBG,CB Richard Ellis Group,40,Financials,4040,Real Estate,404030,Real Estate Management & Development,40403010,Real Estate Management & Development
CBS,CBS Corp.,25,Consumer Discretionary,2540,Media,254010,Media,25401020,Broadcasting & Cable TV
CI,CIGNA Corp.,35,Health Care,3510,Health Care Equipment & Services,351020,Health Care Providers & Services,35102030,Managed Health Care
CIT,CIT Group,40,Financials,4020,Diversified Financials,402010,Diversified Financial Services,40201040,Specialized Finance
CMS,CMS Energy,55,Utilities,5510,Utilities,551030,Multi-Utilities,55103010,Multi-Utilities
CNX,CONSOL Energy Inc.,10,Energy,1010,Energy,101020,"Oil, Gas & Consumable Fuels",10102050,Coal & Consumable Fuels
CSX,CSX Corp.,20,Industrials,2030,Transportation,203040,Road & Rail,20304010,Railroads
CVS,CVS/Caremark Corp.,30,Consumer Staples,3010,Food & Staples Retailing,301010,Food & Staples Retailing,30101010,Drug Retail
CPB,Campbell Soup,30,Consumer Staples,3020,Food Beverage & Tobacco,302020,Food Products,30202030,Packaged Foods & Meats
COF,Capital One Financial,40,Financials,4020,Diversified Financials,402020,Consumer Finance,40202010,Consumer Finance
CAH,"Cardinal Health, Inc.",35,Health Care,3510,Health Care Equipment & Services,351020,Health Care Providers & Services,35102010,Health Care Distributors
CCL,Carnival Corp.,25,Consumer Discretionary,2530,Consumer Services,253010,Hotels Restaurants & Leisure,25301020,"Hotels, Resorts & Cruise Lines"
CAT,Caterpillar Inc.,20,Industrials,2010,Capital Goods,201060,Machinery,20106010,Construction & Farm Machinery & Heavy Trucks
CELG,Celgene Corp.,35,Health Care,3520,"Pharmaceuticals, Biotechnology & Life Sciences",352010,Biotechnology,35201010,Biotechnology
CNP,CenterPoint Energy,55,Utilities,5510,Utilities,551030,Multi-Utilities,55103010,Multi-Utilities
CTX,Centex Corp.,25,Consumer Discretionary,2520,Consumer Durables & Apparel,252010,Household Durables,25201030,Homebuilding
CTL,Century Telephone,50,Telecommunication Services,5010,Telecommunication Services,501010,Diversified Telecommunication Services,50101020,Integrated Telecommunication Services
SCHW,Charles Schwab,40,Financials,4020,Diversified Financials,402030,Capital Markets,40203020,Investment Banking & Brokerage
CHK,Chesapeake Energy,10,Energy,1010,Energy,101020,"Oil, Gas & Consumable Fuels",10102020,Oil & Gas Exploration & Production
CVX,Chevron Corp.,10,Energy,1010,Energy,101020,"Oil, Gas & Consumable Fuels",10102010,Integrated Oil & Gas
CME,Chicago Mercantile Exchange,40,Financials,4020,Diversified Financials,402010,Diversified Financial Services,40201040,Specialized Finance
CB,Chubb Corp.,40,Financials,4030,Insurance,403010,Insurance,40301040,Property & Casualty Insurance
CIEN,Ciena Corp.,45,Information Technology,4520,Technology Hardware & Equipment,452010,Communications Equipment,45201020,Communications Equipment
CINF,Cincinnati Financial,40,Financials,4030,Insurance,403010,Insurance,40301040,Property & Casualty Insurance
CTAS,Cintas Corporation,20,Industrials,2020,Commercial Services & Supplies,202010,Commercial Services & Supplies,20201030,Diversified Commercial & Professional Services
CC,Circuit City Group,25,Consumer Discretionary,2550,Retailing,255040,Specialty Retail,25504020,Computer & Electronics Retail
CSCO,Cisco Systems,45,Information Technology,4520,Technology Hardware & Equipment,452010,Communications Equipment,45201020,Communications Equipment
C,Citigroup Inc.,40,Financials,4020,Diversified Financials,402010,Diversified Financial Services,40201020,Other Diversified Financial Services
CZN,Citizens Communications,50,Telecommunication Services,5010,Telecommunication Services,501010,Diversified Telecommunication Services,50101020,Integrated Telecommunication Services
CTXS,Citrix Systems,45,Information Technology,4510,Software & Services,451030,Software,45103010,Application Software
CCU,Clear Channel Communications,25,Consumer Discretionary,2540,Media,254010,Media,25401020,Broadcasting & Cable TV
CLX,Clorox Co.,30,Consumer Staples,3030,Household & Personal Products,303010,Household Products,30301010,Household Products
COH,"Coach, Inc.",25,Consumer Discretionary,2520,Consumer Durables & Apparel,252030,"Textiles, Apparel & Luxury Goods",25203010,"Apparel, Accessories & Luxury Goods"
KO,Coca Cola Co.,30,Consumer Staples,3020,Food Beverage & Tobacco,302010,Beverages,30201030,Soft Drinks
CCE,Coca-Cola Enterprises,30,Consumer Staples,3020,Food Beverage & Tobacco,302010,Beverages,30201030,Soft Drinks
CTSH,Cognizant Technology Solutions,45,Information Technology,4510,Software & Services,451020,IT Services,45102010,IT Consulting & Other Services
CL,Colgate-Palmolive,30,Consumer Staples,3030,Household & Personal Products,303010,Household Products,30301010,Household Products
CMCSA,Comcast Corp.,25,Consumer Discretionary,2540,Media,254010,Media,25401020,Broadcasting & Cable TV
CMA,Comerica Inc.,40,Financials,4010,Banks,401010,Commercial Banks,40101010,Diversified Banks
CBH,Commerce Bancorp,40,Financials,4010,Banks,401010,Commercial Banks,40101015,Regional Banks
CBSS,Compass Bancshares,40,Financials,4010,Banks,401010,Commercial Banks,40101015,Regional Banks
CSC,Computer Sciences Corp.,45,Information Technology,4510,Software & Services,451020,IT Services,45102020,Data Processing & Outsourced Services
CPWR,Compuware Corp.,45,Information Technology,4510,Software & Services,451030,Software,45103010,Application Software
CAG,"ConAgra Foods, Inc.",30,Consumer Staples,3020,Food Beverage & Tobacco,302020,Food Products,30202030,Packaged Foods & Meats
COP,ConocoPhillips,10,Energy,1010,Energy,101020,"Oil, Gas & Consumable Fuels",10102010,Integrated Oil & Gas
ED,Consolidated Edison,55,Utilities,5510,Utilities,551030,Multi-Utilities,55103010,Multi-Utilities
STZ,Constellation Brands,30,Consumer Staples,3020,Food Beverage & Tobacco,302010,Beverages,30201020,Distillers & Vintners
CEG,Constellation Energy Group,55,Utilities,5510,Utilities,551050,Independent Power Producers & Energy Traders,55105010,Independent Power Producers & Energy Traders
CVG,Convergys Corp.,45,Information Technology,4510,Software & Services,451020,IT Services,45102020,Data Processing & Outsourced Services
CBE,"Cooper Industries, Ltd.",20,Industrials,2010,Capital Goods,201040,Electrical Equipment,20104010,Electrical Components & Equipment
GLW,Corning Inc.,45,Information Technology,4520,Technology Hardware & Equipment,452010,Communications Equipment,45201020,Communications Equipment
COST,Costco Co.,30,Consumer Staples,3010,Food & Staples Retailing,301010,Food & Staples Retailing,30101040,HyperMarkets & Super Centers
CFC,Countrywide Financial Corp.,40,Financials,4010,Banks,401020,Thrifts & Mortgage Finance,40102010,Thrifts & Mortgage Finance
CVH,Coventry Health Care Inc.,35,Health Care,3510,Health Care Equipment & Services,351020,Health Care Providers & Services,35102030,Managed Health Care
CMI,Cummins  Inc.,20,Industrials,2010,Capital Goods,201060,Machinery,20106010,Construction & Farm Machinery & Heavy Trucks
DHI,D.R. Horton,25,Consumer Discretionary,2520,Consumer Durables & Apparel,252010,Household Durables,25201030,Homebuilding
DTV,DIRECTV Group Inc.,25,Consumer Discretionary,2540,Media,254010,Media,25401020,Broadcasting & Cable TV
DTE,DTE Energy Co.,55,Utilities,5510,Utilities,551030,Multi-Utilities,55103010,Multi-Utilities
DHR,Danaher Corp.,20,Industrials,2010,Capital Goods,201060,Machinery,20106020,Industrial Machinery
DRI,Darden Restaurants,25,Consumer Discretionary,2530,Consumer Services,253010,Hotels Restaurants & Leisure,25301040,Restaurants
DF,Dean Foods,30,Consumer Staples,3020,Food Beverage & Tobacco,302020,Food Products,30202030,Packaged Foods & Meats
DE,Deere & Co.,20,Industrials,2010,Capital Goods,201060,Machinery,20106010,Construction & Farm Machinery & Heavy Trucks
DELL,Dell Inc.,45,Information Technology,4520,Technology Hardware & Equipment,452020,Computers & Peripherals,45202010,Computer Hardware
DDR,Developers Diversified Rlty,40,Financials,4040,Real Estate,404020,Real Estate Investment Trusts (REITs),40402060,Retail REITs
DVN,Devon Energy Corp.,10,Energy,1010,Energy,101020,"Oil, Gas & Consumable Fuels",10102020,Oil & Gas Exploration & Production
DDS,Dillard Inc.,25,Consumer Discretionary,2550,Retailing,255030,Multiline Retail,25503010,Department Stores
DG,Dollar General,25,Consumer Discretionary,2550,Retailing,255030,Multiline Retail,25503020,General Merchandise Stores
D,Dominion Resources,55,Utilities,5510,Utilities,551030,Multi-Utilities,55103010,Multi-Utilities
RRD,Donnelley (R.R.) & Sons,20,Industrials,2020,Commercial Services & Supplies,202010,Commercial Services & Supplies,20201010,Commercial Printing
DOV,Dover Corp.,20,Industrials,2010,Capital Goods,201060,Machinery,20106020,Industrial Machinery
DOW,Dow Chemical,15,Materials,1510,Materials,151010,Chemicals,15101020,Diversified Chemicals
DJ,Dow Jones & Co.,25,Consumer Discretionary,2540,Media,254010,Media,25401040,Publishing
DD,Du Pont (E.I.),15,Materials,1510,Materials,151010,Chemicals,15101020,Diversified Chemicals
DUK,Duke Energy,55,Utilities,5510,Utilities,551010,Electric Utilities,55101010,Electric Utilities
DYN,Dynegy Inc.,55,Utilities,5510,Utilities,551050,Independent Power Producers & Energy Traders,55105010,Independent Power Producers & Energy Traders
ETFC,E*Trade Financial Corp.,40,Financials,4020,Diversified Financials,402030,Capital Markets,40203020,Investment Banking & Brokerage
EMC,EMC Corp.,45,Information Technology,4520,Technology Hardware & Equipment,452020,Computers & Peripherals,45202020,Computer Storage & Peripherals
ESV,ENSCO Int'l,10,Energy,1010,Energy,101010,Energy Equipment & Services,10101010,Oil & Gas Drilling
EOG,EOG Resources,10,Energy,1010,Energy,101020,"Oil, Gas & Consumable Fuels",10102020,Oil & Gas Exploration & Production
EMN,Eastman Chemical,15,Materials,1510,Materials,151010,Chemicals,15101020,Diversified Chemicals
EK,Eastman Kodak,25,Consumer Discretionary,2520,Consumer Durables & Apparel,252020,Leisure Equipment & Products,25202020,Photographic Products
ETN,Eaton Corp.,20,Industrials,2010,Capital Goods,201060,Machinery,20106020,Industrial Machinery
ECL,Ecolab Inc.,15,Materials,1510,Materials,151010,Chemicals,15101050,Specialty Chemicals
EIX,Edison Int'l,55,Utilities,5510,Utilities,551010,Electric Utilities,55101010,Electric Utilities
EP,El Paso Corp.,10,Energy,1010,Energy,101020,"Oil, Gas & Consumable Fuels",10102040,Oil & Gas Storage & Transportation
ERTS,Electronic Arts,45,Information Technology,4510,Software & Services,451030,Software,45103030,Home Entertainment Software
EDS,Electronic Data Systems,45,Information Technology,4510,Software & Services,451020,IT Services,45102020,Data Processing & Outsourced Services
EQ,Embarq Corporation,50,Telecommunication Services,5010,Telecommunication Services,501010,Diversified Telecommunication Services,50101020,Integrated Telecommunication Services
EMR,Emerson Electric,20,Industrials,2010,Capital Goods,201040,Electrical Equipment,20104010,Electrical Components & Equipment
ETR,Entergy Corp.,55,Utilities,5510,Utilities,551010,Electric Utilities,55101010,Electric Utilities
EFX,Equifax Inc.,20,Industrials,2020,Commercial Services & Supplies,202010,Commercial Services & Supplies,20201030,Diversified Commercial & Professional Services
EQR,Equity Residential,40,Financials,4040,Real Estate,404020,Real Estate Investment Trusts (REITs),40402050,Residential REITs
EL,Estee Lauder Cos.,30,Consumer Staples,3030,Household & Personal Products,303020,Personal Products,30302010,Personal Products
EXC,Exelon Corp.,55,Utilities,5510,Utilities,551010,Electric Utilities,55101010,Electric Utilities
ESRX,Express Scripts,35,Health Care,3510,Health Care Equipment & Services,351020,Health Care Providers & Services,35102015,Health Care Services
XOM,Exxon Mobil Corp.,10,Energy,1010,Energy,101020,"Oil, Gas & Consumable Fuels",10102010,Integrated Oil & Gas
FISV,FIserv Inc.,45,Information Technology,4510,Software & Services,451020,IT Services,45102020,Data Processing & Outsourced Services
FPL,FPL Group,55,Utilities,5510,Utilities,551010,Electric Utilities,55101010,Electric Utilities
FDO,Family Dollar Stores,25,Consumer Discretionary,2550,Retailing,255030,Multiline Retail,25503020,General Merchandise Stores
FNM,Fannie Mae,40,Financials,4010,Banks,401020,Thrifts & Mortgage Finance,40102010,Thrifts & Mortgage Finance
FDX,FedEx Corporation,20,Industrials,2030,Transportation,203010,Air Freight & Logistics,20301010,Air Freight & Logistics
FRE,Federal Home Loan Mtg.,40,Financials,4010,Banks,401020,Thrifts & Mortgage Finance,40102010,Thrifts & Mortgage Finance
FD,Federated Dept. Stores,25,Consumer Discretionary,2550,Retailing,255030,Multiline Retail,25503010,Department Stores
FII,Federated Investors Inc.,40,Financials,4020,Diversified Financials,402030,Capital Markets,40203010,Asset Management & Custody Banks
FIS,Fidelity National Information Services,45,Information Technology,4510,Software & Services,451020,IT Services,45102020,Data Processing & Outsourced Services
FITB,Fifth Third Bancorp,40,Financials,4010,Banks,401010,Commercial Banks,40101015,Regional Banks
FDC,First Data,45,Information Technology,4510,Software & Services,451020,IT Services,45102020,Data Processing & Outsourced Services
FHN,First Horizon National,40,Financials,4010,Banks,401010,Commercial Banks,40101015,Regional Banks
FE,FirstEnergy Corp.,55,Utilities,5510,Utilities,551010,Electric Utilities,55101010,Electric Utilities
FLR,Fluor Corp. (New),20,Industrials,2010,Capital Goods,201030,Construction & Engineering,20103010,Construction & Engineering
F,Ford Motor,25,Consumer Discretionary,2510,Automobiles & Components,251020,Automobiles ,25102010,Automobile Manufacturers
FRX,Forest Laboratories,35,Health Care,3520,"Pharmaceuticals, Biotechnology & Life Sciences",352020,Pharmaceuticals,35202010,Pharmaceuticals
FO,"Fortune Brands, Inc.",25,Consumer Discretionary,2520,Consumer Durables & Apparel,252010,Household Durables,25201050,Housewares & Specialties
BEN,Franklin Resources,40,Financials,4020,Diversified Financials,402030,Capital Markets,40203010,Asset Management & Custody Banks
FCX,Freeport-McMoran Cp & Gld,15,Materials,1510,Materials,151040,Metals & Mining,15104020,Diversified Metals & Mining
GCI,Gannett Co.,25,Consumer Discretionary,2540,Media,254010,Media,25401040,Publishing
GPS,Gap (The),25,Consumer Discretionary,2550,Retailing,255040,Specialty Retail,25504010,Apparel Retail
GD,General Dynamics,20,Industrials,2010,Capital Goods,201010,Aerospace & Defense,20101010,Aerospace & Defense
GE,General Electric,20,Industrials,2010,Capital Goods,201050,Industrial Conglomerates,20105010,Industrial Conglomerates
GIS,General Mills,30,Consumer Staples,3020,Food Beverage & Tobacco,302020,Food Products,30202030,Packaged Foods & Meats
GM,General Motors,25,Consumer Discretionary,2510,Automobiles & Components,251020,Automobiles ,25102010,Automobile Manufacturers
GPC,Genuine Parts,25,Consumer Discretionary,2550,Retailing,255010,Distributors,25501010,Distributors
GNW,Genworth Financial Inc.,40,Financials,4030,Insurance,403010,Insurance,40301030,Multi-line Insurance
GENZ,Genzyme Corp.,35,Health Care,3520,"Pharmaceuticals, Biotechnology & Life Sciences",352010,Biotechnology,35201010,Biotechnology
GILD,Gilead Sciences,35,Health Care,3520,"Pharmaceuticals, Biotechnology & Life Sciences",352010,Biotechnology,35201010,Biotechnology
GS,Goldman Sachs Group,40,Financials,4020,Diversified Financials,402030,Capital Markets,40203020,Investment Banking & Brokerage
GR,Goodrich Corporation,20,Industrials,2010,Capital Goods,201010,Aerospace & Defense,20101010,Aerospace & Defense
GT,Goodyear Tire & Rubber,25,Consumer Discretionary,2510,Automobiles & Components,251010,Auto Components,25101020,Tires & Rubber
GOOG,Google Inc.,45,Information Technology,4510,Software & Services,451010,Internet Software & Services,45101010,Internet Software & Services
GWW,Grainger (W.W.) Inc.,20,Industrials,2010,Capital Goods,201070,Trading Companies & Distributors,20107010,Trading Companies & Distributors
HAL,Halliburton Co.,10,Energy,1010,Energy,101010,Energy Equipment & Services,10101020,Oil & Gas Equipment & Services
HOG,Harley-Davidson,25,Consumer Discretionary,2510,Automobiles & Components,251020,Automobiles ,25102020,Motorcycle Manufacturers
HAR,Harman Int'l Industries,25,Consumer Discretionary,2520,Consumer Durables & Apparel,252010,Household Durables,25201010,Consumer Electronics
HET,Harrah's Entertainment,25,Consumer Discretionary,2530,Consumer Services,253010,Hotels Restaurants & Leisure,25301010,Casinos & Gaming
HIG,Hartford Financial Svc.Gp.,40,Financials,4030,Insurance,403010,Insurance,40301030,Multi-line Insurance
HAS,Hasbro Inc.,25,Consumer Discretionary,2520,Consumer Durables & Apparel,252020,Leisure Equipment & Products,25202010,Leisure Products
HNZ,Heinz (H.J.),30,Consumer Staples,3020,Food Beverage & Tobacco,302020,Food Products,30202030,Packaged Foods & Meats
HPC,"Hercules, Inc.",15,Materials,1510,Materials,151010,Chemicals,15101020,Diversified Chemicals
HES,Hess Corporation,10,Energy,1010,Energy,101020,"Oil, Gas & Consumable Fuels",10102010,Integrated Oil & Gas
HPQ,Hewlett-Packard,45,Information Technology,4520,Technology Hardware & Equipment,452020,Computers & Peripherals,45202010,Computer Hardware
HLT,Hilton Hotels,25,Consumer Discretionary,2530,Consumer Services,253010,Hotels Restaurants & Leisure,25301020,"Hotels, Resorts & Cruise Lines"
HD,Home Depot,25,Consumer Discretionary,2550,Retailing,255040,Specialty Retail,25504030,Home Improvement Retail
HON,Honeywell Int'l Inc.,20,Industrials,2010,Capital Goods,201010,Aerospace & Defense,20101010,Aerospace & Defense
HSP,Hospira Inc.,35,Health Care,3510,Health Care Equipment & Services,351010,Health Care Equipment & Supplies,35101010,Health Care Equipment
HST,Host Hotels & Resorts,40,Financials,4040,Real Estate,404020,Real Estate Investment Trusts (REITs),40402070,Specialized REITs
HCBK,Hudson City Bancorp,40,Financials,4010,Banks,401020,Thrifts & Mortgage Finance,40102010,Thrifts & Mortgage Finance
HUM,Humana Inc.,35,Health Care,3510,Health Care Equipment & Services,351020,Health Care Providers & Services,35102030,Managed Health Care
HBAN,Huntington Bancshares,40,Financials,4010,Banks,401010,Commercial Banks,40101015,Regional Banks
IACI,IAC/InterActive Corp.,25,Consumer Discretionary,2550,Retailing,255020,Internet & Catalog Retail,25502020,Internet Retail
